Dataset,Feature_Noise,Label_Noise,Model,C,k,Train Acc,Test Acc
breast_cancer,Clean,15%,ProbSVM,1.0,,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,15%,NaiveSVM,10.0,,0.8527472527472527,0.7543859649122807
breast_cancer,Clean,15%,ProbSVM,10.0,,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,15%,NaiveSVM,100.0,,0.8549450549450549,0.7368421052631579
breast_cancer,Clean,15%,ProbSVM,100.0,,0.6307692307692307,0.6491228070175439
breast_cancer,Clean,15%,KNNSVM,0.1,5.0,0.8461538461538461,0.7982456140350878
breast_cancer,Clean,15%,SKiP-multiply,0.1,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,15%,SKiP-multiply-minmax,0.1,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,15%,SKiP-average,0.1,5.0,0.8461538461538461,0.8070175438596491
breast_cancer,Clean,15%,SKiP-average-minmax,0.1,5.0,0.8461538461538461,0.8070175438596491
breast_cancer,Clean,15%,KNNSVM,1.0,5.0,0.843956043956044,0.7807017543859649
breast_cancer,Clean,15%,SKiP-multiply,1.0,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,15%,SKiP-multiply-minmax,1.0,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,15%,SKiP-average,1.0,5.0,0.8461538461538461,0.7807017543859649
breast_cancer,Clean,15%,SKiP-average-minmax,1.0,5.0,0.8461538461538461,0.7807017543859649
breast_cancer,Clean,15%,KNNSVM,10.0,5.0,0.8461538461538461,0.7631578947368421
breast_cancer,Clean,15%,SKiP-multiply,10.0,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,15%,SKiP-multiply-minmax,10.0,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,15%,SKiP-average,10.0,5.0,0.8483516483516483,0.7807017543859649
breast_cancer,Clean,15%,SKiP-average-minmax,10.0,5.0,0.8483516483516483,0.7807017543859649
breast_cancer,Clean,15%,KNNSVM,100.0,5.0,0.8043956043956044,0.7192982456140351
breast_cancer,Clean,15%,SKiP-multiply,100.0,5.0,0.6241758241758242,0.6403508771929824
breast_cancer,Clean,15%,SKiP-multiply-minmax,100.0,5.0,0.6241758241758242,0.631578947368421
breast_cancer,Clean,15%,SKiP-average,100.0,5.0,0.8593406593406593,0.7543859649122807
breast_cancer,Clean,15%,SKiP-average-minmax,100.0,5.0,0.8571428571428571,0.7631578947368421
breast_cancer,Clean,20%,NaiveSVM,0.1,,0.7912087912087912,0.7280701754385965
breast_cancer,Clean,20%,ProbSVM,0.1,,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,20%,NaiveSVM,1.0,,0.789010989010989,0.7631578947368421
breast_cancer,Clean,20%,ProbSVM,1.0,,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,20%,NaiveSVM,10.0,,0.789010989010989,0.7631578947368421
breast_cancer,Clean,20%,ProbSVM,10.0,,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,20%,NaiveSVM,100.0,,0.7912087912087912,0.7631578947368421
breast_cancer,Clean,20%,ProbSVM,100.0,,0.6307692307692307,0.6052631578947368
breast_cancer,Clean,20%,KNNSVM,0.1,5.0,0.7912087912087912,0.7456140350877193
breast_cancer,Clean,20%,SKiP-multiply,0.1,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,20%,SKiP-multiply-minmax,0.1,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,20%,SKiP-average,0.1,5.0,0.789010989010989,0.7456140350877193
breast_cancer,Clean,20%,SKiP-average-minmax,0.1,5.0,0.789010989010989,0.7456140350877193
breast_cancer,Clean,20%,KNNSVM,1.0,5.0,0.7956043956043956,0.7456140350877193
breast_cancer,Clean,20%,SKiP-multiply,1.0,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,20%,SKiP-multiply-minmax,1.0,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,20%,SKiP-average,1.0,5.0,0.7956043956043956,0.7456140350877193
breast_cancer,Clean,20%,SKiP-average-minmax,1.0,5.0,0.7956043956043956,0.7456140350877193
breast_cancer,Clean,20%,KNNSVM,10.0,5.0,0.8065934065934066,0.7280701754385965
breast_cancer,Clean,20%,SKiP-multiply,10.0,5.0,0.5978021978021978,0.5964912280701754
breast_cancer,Clean,20%,SKiP-multiply-minmax,10.0,5.0,0.5978021978021978,0.5964912280701754
